complete,star,cycle,line,er,pa,pa2
30,63,189,150,52,35,697
58,41,157,81,48,152,96
22,14,115,18,26,504,48
115,44,192,302,76,26,80
101,84,312,426,28,12,1
86,72,43,76,91,97,33
60,38,125,275,30,15,22
16,110,294,339,25,90,17
39,47,52,196,49,38,33
73,65,230,188,35,22,131
28,74,5,291,31,49,30
139,54,75,24,22,29,25
11,35,432,167,69,238,32
25,70,327,16,45,42,32
80,70,17,166,9,59,40
29,114,116,91,36,46,117
11,65,345,197,16,176,70
54,32,36,22,30,60,100
192,47,567,46,98,80,40
30,25,23,97,133,18,16
30,41,10,770,25,25,14
35,36,70,15,50,67,71
109,67,291,24,56,10,112
10,75,572,498,67,24,177
60,82,83,169,36,44,63
23,41,18,602,57,52,120
33,9,39,307,29,31,193
105,109,80,33,36,31,115
34,69,236,51,72,16,149
55,54,28,134,27,74,22
91,109,407,524,41,125,107
15,16,199,16,59,99,154
35,35,104,12,40,92,23
25,103,69,186,23,56,57
59,84,257,459,19,149,213
20,80,9,263,126,53,173
71,70,181,69,121,77,21
109,1,81,200,175,35,206
43,11,79,292,211,291,130
56,28,203,25,137,180,59
57,24,25,215,12,41,6
19,24,25,587,27,20,43
67,196,130,163,149,6,62
3,22,40,404,26,49,99
48,23,40,113,23,38,47
162,23,150,6,18,257,74
69,85,114,200,97,182,33
127,58,159,64,50,60,37
121,31,63,259,43,63,81
32,72,10,251,47,23,22
12,105,408,306,17,83,130
194,20,405,119,47,100,203
66,34,86,123,87,44,102
69,5,309,390,83,35,115
108,108,22,739,348,1000,73
45,62,23,393,977,90,77
58,72,13,910,3,96,211
57,51,117,311,18,99,281
125,27,270,30,35,117,78
80,60,375,136,42,100,162
42,45,615,4,44,108,98
21,82,150,237,28,71,100
91,81,266,137,76,382,93
47,97,203,55,38,103,170
161,91,225,58,30,56,111
92,87,231,807,7,36,168
72,41,139,441,3,134,23
28,22,13,81,53,73,32
18,43,154,1000,21,324,28
42,38,35,39,112,74,67
65,207,103,125,48,17,40
81,13,233,32,19,83,159
36,6,75,30,71,180,14
28,72,43,207,29,216,85
20,26,88,60,39,21,29
61,15,59,14,28,92,46
115,19,116,268,66,13,16
11,96,236,24,53,28,66
93,23,150,75,52,21,184
248,65,284,29,69,102,152
226,109,145,3,125,53,22
14,31,266,136,71,28,48
47,52,486,679,43,32,84
68,134,35,57,166,88,46
22,75,14,62,122,38,102
32,40,120,66,19,94,48
108,78,48,90,18,40,51
37,41,32,406,27,17,20
85,70,7,43,58,34,16
33,95,56,1000,69,68,142
63,42,75,425,23,43,92
110,103,186,216,71,89,147
38,15,38,16,38,14,111
43,102,53,232,74,12,46
49,16,192,233,186,88,77
145,17,7,292,89,16,30
161,117,89,106,34,48,8
79,57,5,312,131,69,103
6,30,160,28,41,68,58
16,43,147,68,82,96,96
