complete,star,cycle,line,er,pa,pa2
4034,924,20000,20000,10306,9566,2488
6946,2626,20000,20000,6930,1490,5236
2391,1083,20000,20000,9525,1676,5354
4120,982,20000,20000,12075,3549,8922
9217,1293,20000,20000,3092,8716,8657
3233,581,20000,20000,4856,2583,10660
12173,1175,17347,20000,10092,1838,16901
1478,528,20000,20000,6140,4459,15784
8871,1262,20000,7351,3393,2285,2334
12420,1090,20000,20000,5555,5671,5531
2092,576,20000,20000,4807,5717,6803
6541,1275,20000,20000,6101,10436,10839
3352,958,20000,20000,3372,9718,5858
3521,958,20000,20000,7580,12156,8599
4645,915,8692,20000,8786,1291,5026
2396,834,20000,20000,2188,3602,10837
11571,509,20000,20000,17758,3102,9406
2280,872,20000,20000,1900,922,8649
5136,1128,20000,20000,10158,2080,16647
4019,705,20000,20000,6795,7099,2990
2477,1814,20000,20000,7353,7114,5931
8734,1333,20000,20000,14898,3158,7300
1748,905,20000,20000,18925,3530,5205
6406,514,20000,20000,6800,4293,1666
7488,1527,20000,20000,2748,9898,9549
9156,782,20000,20000,17443,6466,8533
20000,1023,20000,20000,8300,2050,13857
17379,565,20000,20000,2942,16783,3084
3705,684,20000,20000,12426,3850,4752
2141,673,20000,20000,10910,7996,7739
8163,2681,16288,20000,4481,11962,3945
8423,1334,20000,20000,4915,2073,7912
2917,584,20000,11161,5653,1226,17799
6436,761,20000,14578,12611,2953,7122
16103,1102,20000,20000,2549,862,9199
1447,2105,20000,14757,2670,5549,7083
5064,1304,20000,20000,13644,2732,2506
7300,755,20000,20000,5081,4962,4204
5116,1690,20000,20000,11788,7638,3382
5227,741,20000,20000,6308,2986,12099
12600,804,20000,20000,6682,3709,3722
1235,640,20000,20000,4196,9316,2493
4537,1350,20000,20000,3676,5042,3119
6881,859,20000,20000,5172,3722,10391
1652,1516,20000,20000,9003,2510,10706
4237,1062,20000,20000,8802,6289,3010
4705,1649,9268,20000,3579,13131,5904
3943,700,20000,20000,5011,8953,11216
9593,705,20000,20000,9017,4340,13099
9659,1288,20000,20000,4627,1715,3101
2634,792,20000,20000,8075,913,7356
2893,902,20000,20000,5431,2084,4525
7271,1124,11903,20000,1263,3544,2930
9789,793,20000,20000,3568,2738,6043
8018,1071,20000,14418,4401,1397,8707
2119,1914,20000,20000,16645,2688,5851
8854,3194,20000,20000,9116,6575,1222
11478,779,20000,20000,12894,3137,7349
2526,1618,20000,20000,3255,4004,2611
9724,1464,20000,20000,2770,4248,20000
10672,3112,20000,20000,2680,10659,3821
6914,1276,20000,20000,7229,5252,3335
5100,971,20000,20000,4074,7768,6754
15076,1940,20000,20000,3513,2376,3550
5831,841,20000,20000,6762,8481,2643
2679,1224,20000,20000,8776,2986,20000
1026,850,3609,20000,6116,10709,6881
12258,1028,20000,20000,2087,4596,6049
6312,733,20000,20000,2012,9590,12033
11399,1674,20000,20000,9443,12968,11268
7433,623,20000,20000,2262,9688,11294
3211,1466,20000,20000,5533,10275,2789
8626,905,20000,20000,11724,933,5042
3811,905,20000,20000,14053,4374,6394
6609,1632,20000,20000,3047,3471,2661
7435,821,20000,8167,6919,7444,1849
5721,1143,20000,20000,4164,1982,8375
8804,1379,20000,20000,4500,2081,2037
2942,1218,20000,20000,7147,2573,5269
4370,749,20000,20000,1765,4321,2756
3184,821,19053,20000,7939,2535,9300
7542,649,20000,20000,1488,12528,2339
5793,1352,20000,20000,4135,4350,8118
10840,1135,20000,20000,8467,14137,20000
4748,1531,20000,20000,14283,16409,2682
5599,1164,20000,20000,4831,5134,3885
1709,544,19809,20000,6067,2790,2213
2758,1211,20000,20000,1910,2307,5960
7789,1168,20000,20000,1662,4259,3240
6238,637,20000,20000,1190,2043,13030
3716,833,20000,20000,8419,8092,14453
6611,1199,20000,9827,3281,5341,2604
2438,1595,20000,20000,1927,1953,5961
4187,1339,20000,20000,11098,2722,3671
9863,947,20000,20000,2435,15427,5984
2578,1261,20000,20000,13554,2530,4112
3630,1675,20000,20000,4300,9442,6518
10188,766,20000,20000,18168,5618,8637
6084,627,20000,20000,6239,15515,1661
2764,1881,20000,20000,5862,4122,8246
