complete,star,cycle,line,er,pa,pa2
3477,1163,8944,20000,3522,2308,11230
3121,543,2366,1250,3092,4144,5027
2286,265,5224,20000,1349,3508,1526
868,760,15182,13840,2803,722,1595
3013,432,7668,20000,3014,669,2393
1359,455,10980,20000,7163,1848,1715
998,306,14495,10171,3077,1245,1736
2939,549,15823,20000,2581,2427,670
4428,625,20000,20000,1971,2225,1630
2335,886,20000,4975,1783,2262,3507
2087,410,20000,20000,1658,861,3786
2644,472,20000,20000,1164,2255,1226
1513,557,20000,13210,1037,3971,3605
1723,444,20000,20000,2953,4227,3758
1629,425,20000,6267,493,4583,3300
4027,435,16844,20000,2742,989,2307
1385,453,20000,9584,4365,1565,4233
4517,464,20000,3038,1187,3368,1002
8097,454,20000,20000,1192,1549,5793
1458,249,7156,12673,884,2079,844
548,347,19385,6544,920,1581,3796
710,264,20000,20000,2757,766,1122
1476,479,20000,20000,6979,6021,1254
2791,300,20000,20000,7293,1652,1469
4362,626,7492,2304,5826,999,1067
1248,619,12684,20000,3817,3358,1418
1870,879,20000,5631,1776,454,2856
2355,428,19614,6257,2229,876,2081
5944,1048,5429,11491,4891,987,830
1272,269,10469,20000,737,785,2338
2492,484,5562,8403,3602,4099,667
5927,468,20000,20000,2278,3170,7161
1849,267,2242,20000,760,1696,968
779,331,20000,20000,2216,1870,2028
4116,872,20000,19020,2063,1121,7103
1248,776,16901,20000,1432,5836,1189
1825,937,15189,6161,2403,943,2233
7766,695,10275,20000,3894,1286,5015
1715,454,20000,6625,1901,513,2396
4089,386,19477,20000,6061,3630,1992
688,403,20000,3984,1914,3259,2649
2999,214,20000,20000,2856,3102,3595
1175,332,13108,19620,5875,2210,2784
1432,254,20000,4450,4379,1126,2302
1468,799,20000,11083,3328,675,1780
2308,524,3231,20000,2028,904,1067
1696,567,20000,20000,3812,930,1980
2857,520,20000,20000,1011,3009,2628
1507,382,20000,20000,5823,6473,469
1786,728,8827,20000,10284,3484,1861
2304,839,4564,1101,977,879,2086
3401,316,5540,1429,3461,596,5404
2700,1486,20000,20000,6606,1531,4598
2063,1016,12381,20000,1957,936,3219
1552,670,4583,20000,1215,4326,1977
790,441,20000,20000,1498,992,5794
3303,896,20000,5706,1085,569,2259
9294,1469,20000,20000,1312,2288,3711
3397,398,14564,8216,1409,2979,1134
540,515,20000,10030,2131,6305,3310
491,520,17206,6342,2036,3560,2143
352,732,20000,20000,1361,4493,1649
1124,441,18014,20000,1739,2689,2496
486,192,20000,20000,4682,846,1017
785,399,20000,9427,1471,3337,1860
3436,224,20000,3393,5826,614,1000
3989,493,7488,2968,4338,1342,2889
2579,851,20000,5965,5217,2023,1076
3508,765,13819,13695,1540,2251,3822
1738,604,20000,7607,2182,2863,1263
4423,1342,20000,20000,2029,3058,6528
1074,219,20000,3752,1214,1488,1557
1496,1074,6889,20000,1008,1632,1113
2120,1066,20000,20000,982,1320,2898
4878,443,20000,20000,2074,3298,3174
1232,587,20000,20000,7000,1039,2182
1398,454,20000,20000,2223,1120,5659
2433,756,17035,12848,764,1624,1532
5480,567,20000,20000,2628,3119,757
1554,382,20000,20000,1120,2105,434
4506,602,20000,4931,4539,926,3597
4716,821,9368,7970,3229,1566,1378
2042,425,20000,5454,5519,2130,4040
1067,1141,4286,15264,2097,991,3243
4848,294,20000,20000,1368,1035,2436
1113,412,20000,20000,2344,1190,2312
874,1006,20000,20000,616,1209,2324
1465,291,20000,919,1349,1220,4878
1700,1613,2903,8095,4235,1075,3175
2576,561,20000,20000,3952,1839,1158
2006,401,7119,5597,2383,3472,3148
1302,906,20000,20000,15530,761,2037
4797,410,20000,16694,6680,1080,1828
1638,527,20000,6894,3038,885,567
2259,688,9909,20000,819,990,2959
1967,816,20000,20000,643,654,526
1659,543,20000,13164,558,2891,2273
1765,755,14141,3782,2863,438,2358
3165,425,5561,20000,987,667,940
1825,486,4956,2936,561,813,1570
