complete,star,cycle,line,er,pa,pa2
2793,400,6014,20000,1560,2206,1441
794,344,15280,1923,2876,1722,8789
521,391,20000,20000,524,2849,1203
991,310,8221,2323,862,791,2480
321,634,13751,12180,2855,2721,1062
1172,238,7394,13305,721,1054,2601
875,559,20000,20000,10258,3273,2815
262,673,20000,20000,7142,775,2035
1106,555,20000,11723,1139,762,1167
3485,584,5645,20000,1043,1142,2892
262,404,20000,20000,2688,1239,757
1581,438,14035,3804,4273,1048,405
996,266,12142,2498,2074,4272,633
4200,815,895,20000,2488,741,2108
597,336,14979,3480,560,2669,1167
760,191,20000,9407,1685,3507,788
3460,377,9564,20000,2034,768,1691
5792,474,4273,1924,732,459,743
440,814,1702,20000,1278,3039,366
718,370,2688,20000,1561,4773,3522
209,611,9811,20000,1064,367,486
2607,305,6665,865,1807,516,817
672,772,11334,5661,1549,987,4106
546,417,20000,2553,1608,1091,1172
542,569,16865,2982,1579,1972,1357
609,304,10194,20000,995,1284,6309
1889,282,19374,8144,2570,4115,3512
6087,649,3475,20000,4196,231,1253
1290,263,3286,20000,925,1692,5612
2504,319,20000,20000,1923,640,1617
771,313,20000,20000,1437,1221,566
2576,483,10876,2137,2098,807,3208
1437,893,6449,20000,1267,1304,4330
894,343,20000,11017,5554,1272,944
1086,592,20000,1127,968,889,449
1737,305,4510,17179,325,1189,682
1004,817,20000,20000,694,706,649
2630,296,2333,20000,3071,2551,272
3239,528,20000,20000,948,976,3122
1284,268,20000,20000,1690,1439,1246
649,428,20000,20000,776,1917,1555
1537,298,20000,1270,2243,355,2374
1969,346,7785,15952,1281,1406,2286
3024,1482,15377,20000,1836,2452,1328
3118,209,6178,4765,2338,3033,5784
7362,793,20000,10575,2090,656,1661
720,550,20000,20000,561,1262,2413
3241,309,7459,20000,1897,1070,1639
601,675,2521,1799,3675,1352,2037
2394,489,20000,10517,978,814,1592
308,405,20000,20000,1044,1258,1139
1710,478,9548,10560,826,792,3152
1659,530,17390,20000,473,1015,2098
2320,319,3043,19332,1001,2457,652
1543,477,8822,20000,1712,2426,731
1793,813,20000,20000,1562,349,1353
1597,286,20000,20000,1141,2219,2625
3304,199,20000,20000,5531,938,488
3336,656,19423,7405,552,940,618
1275,518,20000,20000,987,2193,3917
1181,514,5612,20000,2229,1044,7491
261,743,17843,20000,530,3218,1024
296,573,14026,20000,1005,990,1159
1508,355,20000,20000,2219,654,659
2343,926,17843,18269,947,1525,2793
2170,515,13550,20000,2824,1636,4385
695,343,3714,20000,2150,2078,2052
2358,530,6960,9658,2297,1760,1612
1045,353,6274,12772,762,1543,1024
3289,620,20000,20000,2068,990,1427
2828,627,5676,19801,3013,1664,991
2419,628,16455,20000,6727,1707,6499
603,330,7800,20000,1343,333,2473
831,693,15786,20000,2835,2043,1522
728,347,3135,20000,2125,3967,2485
3466,282,15472,1068,889,2172,1145
576,398,10398,10340,1089,2451,1160
998,248,20000,20000,8775,2267,2192
3414,448,20000,20000,1060,665,3543
1231,473,14006,8357,3245,2087,351
2165,452,5765,7680,536,593,1365
2946,441,20000,18367,1173,938,630
1076,285,17572,6257,595,1185,2929
2076,596,20000,20000,1402,272,502
2518,384,4598,20000,1141,1121,1966
5865,386,6708,18719,1731,952,3981
2430,235,20000,20000,2318,2035,665
959,301,6076,20000,1609,425,942
3986,362,1923,11554,1146,1307,787
1234,650,4877,12943,1547,564,3442
1467,313,17442,16144,317,1170,3030
4194,1033,5982,20000,964,1023,1367
3136,449,20000,8737,609,20000,1855
667,271,13761,1998,1768,770,415
1088,467,10233,20000,1559,1248,1608
1242,788,14123,12124,586,1596,1948
378,385,20000,3091,685,1863,2291
1379,490,4491,1482,711,1415,1649
540,400,5310,20000,656,1446,558
879,560,13640,6259,669,3243,1329
