complete,star,cycle,line,er,pa,pa2
153,191,20000,20000,123,235,20000
165,390,20000,20000,207,20000,20000
118,316,20000,20000,127,20000,20000
66,399,20000,20000,91,141,183
99,180,20000,20000,106,238,20000
245,261,20000,20000,128,383,20000
152,298,20000,20000,126,140,116
121,248,20000,20000,144,302,20000
124,311,20000,20000,143,213,20000
100,384,20000,20000,173,534,20000
112,425,20000,20000,205,216,20000
98,258,20000,20000,125,20000,20000
101,408,20000,20000,151,20000,20000
115,274,20000,20000,85,265,115
122,406,20000,20000,159,164,246
163,294,20000,20000,116,121,263
153,420,20000,20000,255,243,20000
76,301,20000,20000,129,232,20000
170,193,20000,20000,100,462,20000
181,262,20000,20000,151,286,20000
142,319,20000,20000,81,260,280
80,305,20000,20000,199,288,20000
57,220,20000,20000,198,146,20000
87,438,20000,20000,170,174,302
143,395,20000,20000,160,125,20000
165,172,20000,20000,147,363,20000
188,113,20000,20000,135,469,20000
96,361,20000,20000,128,237,153
85,442,20000,20000,110,221,202
182,293,20000,20000,103,245,20000
162,428,20000,20000,178,221,334
119,304,20000,20000,145,148,20000
98,284,20000,20000,145,646,20000
148,512,20000,20000,74,212,20000
167,288,20000,20000,89,250,328
143,237,20000,20000,153,632,20000
95,430,20000,20000,72,20000,20000
116,213,20000,20000,158,154,20000
164,267,20000,20000,100,20000,273
119,323,20000,20000,110,179,20000
164,155,20000,20000,126,283,519
101,306,20000,20000,166,304,20000
95,365,20000,20000,143,236,20000
158,114,20000,20000,103,171,20000
224,313,20000,20000,70,267,20000
100,163,20000,20000,213,147,20000
98,393,20000,20000,120,172,201
89,278,20000,20000,158,307,20000
111,310,20000,20000,140,282,20000
94,371,20000,20000,100,250,20000
111,196,20000,20000,132,220,20000
150,274,20000,20000,153,20000,20000
202,297,20000,20000,150,20000,20000
113,163,20000,20000,189,524,317
120,294,20000,20000,127,20000,20000
84,309,20000,20000,121,20000,20000
221,290,20000,20000,167,341,790
134,273,20000,20000,146,108,20000
105,174,20000,20000,138,203,20000
108,248,20000,20000,95,113,328
220,171,20000,20000,103,256,20000
161,290,20000,20000,133,160,20000
248,430,20000,20000,260,647,20000
190,534,20000,20000,96,321,64
203,210,20000,20000,192,159,20000
103,311,20000,20000,197,20000,20000
104,488,20000,20000,91,395,20000
137,300,20000,20000,124,280,20000
144,251,20000,20000,163,20000,20000
65,123,20000,20000,146,617,20000
214,247,20000,20000,87,212,20000
105,119,20000,20000,183,284,20000
102,207,20000,20000,182,240,20000
168,275,20000,20000,138,281,468
134,236,20000,20000,128,239,20000
71,500,20000,20000,132,163,20000
169,179,20000,20000,166,290,20000
89,370,20000,20000,284,137,20000
133,270,20000,20000,198,198,20000
137,302,20000,20000,174,20000,112
226,301,20000,20000,101,237,20000
108,281,20000,20000,90,169,20000
137,273,20000,20000,263,241,20000
187,208,20000,20000,196,97,20000
123,163,20000,20000,128,20000,20000
123,168,20000,20000,165,212,20000
99,187,20000,20000,104,373,20000
192,227,20000,20000,172,184,20000
160,306,20000,20000,147,133,317
185,192,20000,20000,157,262,20000
115,189,20000,20000,79,20000,438
126,212,20000,20000,113,138,20000
94,178,20000,20000,198,253,20000
170,228,20000,20000,187,20000,20000
81,176,20000,20000,92,283,20000
162,378,20000,20000,136,170,20000
185,288,20000,20000,104,497,20000
78,172,20000,20000,196,353,20000
109,306,20000,20000,165,185,407
232,314,20000,20000,181,266,20000
