complete,star,cycle,line,er,pa,pa2
4058,1364,20000,20000,3870,2401,2917
1442,500,20000,20000,2279,1962,1253
7320,2531,20000,20000,7512,3414,3351
6614,799,20000,20000,3228,1188,2966
4490,1464,20000,20000,8068,3470,4045
3006,999,18686,11678,5104,4153,12161
8790,1067,9974,8014,10595,1341,10415
3049,694,20000,20000,4759,1053,2646
13143,541,20000,20000,4212,3146,1124
1196,1362,20000,20000,17216,2447,5324
7622,776,2430,20000,3902,4918,1139
11132,1429,20000,20000,2511,3829,2197
12455,719,20000,20000,6540,4325,3082
19429,1209,20000,7621,9262,3593,1682
2328,1825,6123,20000,2015,7002,6170
3130,812,20000,20000,4063,2417,4785
2250,1112,20000,20000,6831,10026,2982
2554,566,20000,20000,1744,5168,2871
8393,761,20000,20000,1849,4264,2740
2133,614,7445,20000,8058,5500,5656
6418,975,20000,20000,20000,6066,4864
3123,586,5911,20000,1106,7813,6620
4520,1186,20000,20000,5116,2071,4482
2973,1160,20000,20000,1616,9449,8656
1704,775,20000,20000,2235,2045,4533
6598,1699,20000,5090,10758,9070,5727
8379,582,20000,20000,10968,15575,11430
2836,839,18061,20000,14398,1272,7418
5593,2651,20000,20000,2548,2065,4673
2512,728,20000,20000,15078,2040,10944
9850,946,20000,20000,564,9348,5563
1606,1607,20000,20000,1887,3484,7831
10619,1137,20000,20000,4497,4965,4999
9964,897,20000,20000,6977,5810,3701
2919,849,20000,20000,937,3859,11754
4394,1155,20000,20000,6830,13959,3064
2955,891,20000,20000,2890,5583,3366
14594,607,20000,5241,9815,1300,2883
7934,795,20000,20000,1639,4040,2863
3329,555,20000,20000,2684,2532,1860
8230,575,20000,20000,3205,1797,3159
6510,1505,19815,20000,3476,6196,2664
3235,819,20000,20000,9270,11927,1765
5079,1046,20000,20000,2967,7066,15610
2278,897,20000,20000,3623,3408,6104
4756,1190,20000,20000,3241,1776,3248
1879,679,20000,20000,5961,1993,4201
3168,1265,20000,20000,4394,3421,2718
4635,747,20000,20000,2043,2700,9141
7051,1045,20000,19724,3075,955,3878
4566,1552,20000,20000,20000,3049,9158
993,693,20000,20000,3515,2576,15574
3863,1005,20000,20000,8294,3017,4055
2097,788,20000,20000,6057,2480,5909
3124,707,20000,20000,1461,833,13175
3864,931,20000,20000,5957,689,5100
3018,1821,20000,20000,5707,1843,8790
6756,759,20000,20000,1366,1268,10550
8401,859,20000,20000,6194,1282,12154
3116,1432,20000,20000,7842,2906,3476
7854,562,20000,20000,2080,3811,2605
2043,682,20000,20000,6009,1899,6825
1841,1220,20000,20000,10776,1828,7228
1925,646,20000,20000,4809,2868,4432
6523,862,20000,1955,10040,3274,6147
6990,658,20000,20000,6900,2496,9011
3646,1907,5071,20000,16100,3007,2928
6319,828,20000,20000,4092,5600,1308
3664,918,20000,20000,3620,3613,3929
2235,900,20000,20000,1552,3621,5063
8129,697,20000,20000,1463,7977,2294
11356,847,20000,20000,7734,859,5991
4973,737,20000,18860,2209,1486,9147
4413,511,20000,20000,1974,2162,1486
4030,945,20000,20000,5110,2639,5648
4074,631,17700,20000,3723,2516,3334
5998,1186,20000,20000,1373,2718,5895
3006,608,20000,20000,1690,4369,3355
1703,1104,20000,20000,4090,3471,6323
3028,1448,20000,20000,12993,10590,8179
2133,546,20000,20000,6969,20000,5506
13000,715,20000,13509,2696,613,2430
20000,695,20000,20000,5745,4725,3501
3437,596,20000,20000,2709,5499,4979
1203,1269,20000,20000,2850,7679,8327
4445,584,20000,20000,4338,7115,3621
5234,1787,20000,18824,2427,2760,1650
10833,882,20000,20000,4258,1552,3475
1520,508,20000,20000,5124,3434,15391
4018,1021,20000,20000,4815,1398,14691
2016,1455,20000,20000,3202,6708,5728
1664,735,20000,14232,5940,4347,3132
6728,1012,20000,20000,8148,3573,2206
5072,501,20000,20000,13007,1327,6566
2609,705,20000,20000,3319,1528,15083
2667,646,20000,20000,1815,7926,8778
3271,665,16557,20000,4552,9496,5329
6116,2616,20000,20000,10380,2231,1943
8191,1024,20000,20000,16202,6614,3781
13425,919,20000,20000,3588,1568,9186
