complete,star,cycle,line,er,pa,pa2
143,288,20000,20000,233,221,481
188,541,20000,20000,192,716,685
202,736,20000,20000,144,437,20000
129,487,20000,20000,173,273,20000
295,392,20000,20000,326,20000,20000
139,346,20000,20000,170,20000,711
182,498,20000,20000,309,371,349
150,426,20000,20000,243,296,20000
114,374,20000,20000,225,196,627
125,658,20000,20000,175,20000,20000
175,181,20000,20000,154,921,381
170,699,20000,20000,161,402,20000
297,664,20000,20000,165,716,387
292,585,20000,20000,308,390,20000
313,326,20000,20000,233,964,20000
242,268,20000,20000,249,381,20000
147,498,20000,20000,145,20000,20000
179,494,20000,20000,142,539,20000
113,375,20000,20000,160,181,20000
207,448,20000,20000,127,253,404
209,234,20000,20000,291,615,20000
291,283,20000,20000,175,20000,20000
121,300,20000,20000,123,20000,20000
186,262,20000,20000,242,278,20000
129,272,20000,20000,173,20000,20000
225,572,20000,20000,169,396,20000
93,667,20000,20000,90,649,20000
180,547,20000,20000,153,379,20000
182,237,20000,20000,202,508,20000
124,321,20000,20000,119,348,20000
99,182,20000,20000,146,219,20000
218,238,20000,20000,178,324,20000
193,671,20000,20000,156,370,20000
120,250,20000,20000,209,345,20000
97,607,20000,20000,144,457,20000
224,288,20000,20000,133,404,20000
171,257,20000,20000,164,268,20000
97,310,20000,20000,330,365,20000
222,410,20000,20000,142,157,20000
205,253,20000,20000,296,876,20000
111,319,20000,20000,207,20000,20000
239,597,20000,20000,230,20000,20000
176,695,20000,20000,107,20000,20000
217,317,20000,20000,175,331,20000
127,416,20000,20000,233,314,20000
113,314,20000,20000,186,479,20000
145,235,20000,20000,144,1094,20000
129,439,20000,20000,137,194,20000
127,328,20000,20000,154,384,20000
177,383,20000,20000,172,200,20000
219,368,20000,20000,181,235,497
139,327,20000,20000,297,305,20000
305,302,20000,20000,137,291,20000
203,165,20000,20000,150,304,20000
205,206,20000,20000,203,20000,20000
175,409,20000,20000,142,232,20000
226,359,20000,20000,184,171,273
146,327,20000,20000,124,20000,20000
203,522,20000,20000,215,20000,584
181,244,20000,20000,129,395,20000
282,308,20000,20000,131,392,20000
161,276,20000,20000,117,540,20000
266,264,20000,20000,170,20000,20000
189,317,20000,20000,144,153,473
361,355,20000,20000,217,20000,20000
166,341,20000,20000,245,384,522
160,213,20000,20000,124,450,20000
112,305,20000,20000,134,20000,20000
194,324,20000,20000,133,305,20000
162,327,20000,20000,130,521,20000
227,456,20000,20000,135,321,20000
228,558,20000,20000,129,521,20000
151,339,20000,20000,144,345,20000
186,359,20000,20000,182,252,20000
182,365,20000,20000,301,273,20000
125,319,20000,20000,193,20000,20000
227,565,20000,20000,158,20000,20000
313,339,20000,20000,215,326,20000
128,565,20000,20000,276,284,212
275,252,20000,20000,241,423,20000
151,396,20000,20000,125,331,20000
403,321,20000,20000,212,409,20000
247,306,20000,20000,177,325,20000
157,438,20000,20000,144,20000,320
297,332,20000,20000,110,412,1120
178,644,20000,20000,334,20000,20000
294,392,20000,20000,130,289,20000
159,320,20000,20000,164,20000,20000
159,314,20000,20000,266,295,20000
225,504,20000,20000,225,185,20000
190,627,20000,20000,165,364,892
207,390,20000,20000,204,317,20000
270,316,20000,20000,255,321,20000
140,236,20000,20000,267,20000,20000
127,215,20000,20000,180,183,970
215,255,20000,20000,106,342,20000
187,347,20000,20000,133,200,366
198,635,20000,20000,167,239,20000
111,313,20000,20000,126,475,371
194,297,20000,20000,108,20000,20000
