complete,star,cycle,line,er,pa,pa2
332,668,20000,20000,564,625,1321
259,954,20000,20000,424,575,937
325,658,20000,20000,340,20000,20000
395,759,20000,20000,333,636,684
383,663,20000,20000,323,468,20000
406,503,20000,20000,412,477,20000
433,759,20000,20000,291,332,20000
707,687,20000,20000,293,339,20000
582,640,20000,20000,286,758,20000
328,718,20000,20000,510,469,20000
311,726,20000,20000,289,305,20000
394,796,20000,20000,235,219,20000
500,745,20000,20000,354,618,880
703,649,20000,20000,381,593,813
437,651,20000,20000,376,610,20000
355,1137,20000,20000,271,357,20000
403,282,20000,20000,328,394,20000
657,688,20000,20000,284,608,793
320,462,20000,20000,211,438,20000
429,797,20000,20000,277,607,20000
397,1146,20000,20000,269,678,20000
397,720,20000,20000,419,529,843
455,745,20000,20000,500,449,20000
323,430,20000,20000,579,20000,1061
286,699,20000,20000,240,438,20000
838,654,20000,20000,503,523,20000
608,1335,20000,20000,305,478,1586
408,1207,20000,20000,382,500,20000
440,756,20000,20000,492,555,20000
355,583,20000,20000,324,344,20000
386,584,20000,20000,441,364,20000
554,520,20000,20000,261,523,20000
222,782,20000,20000,387,424,20000
347,790,20000,20000,348,437,20000
404,745,20000,20000,296,441,878
393,820,20000,20000,498,886,20000
258,1097,20000,20000,277,1119,20000
387,632,20000,20000,372,537,566
274,483,20000,20000,608,382,1742
388,669,20000,20000,383,634,20000
403,542,20000,20000,375,481,1607
239,806,20000,20000,425,633,20000
347,607,20000,20000,368,542,20000
380,814,20000,20000,416,471,20000
410,1079,20000,20000,466,511,20000
240,817,20000,20000,526,708,20000
429,837,20000,20000,458,20000,2277
336,548,20000,20000,298,567,20000
285,602,20000,20000,286,791,20000
330,595,20000,20000,480,762,20000
266,691,20000,20000,374,566,20000
365,648,20000,20000,378,701,20000
375,1359,20000,20000,322,442,20000
382,689,20000,20000,366,416,788
321,560,20000,20000,292,543,20000
323,1478,20000,20000,315,758,20000
373,922,20000,20000,324,480,784
465,911,20000,20000,487,294,20000
336,923,20000,20000,300,655,20000
327,620,20000,20000,356,500,20000
841,433,20000,20000,339,412,20000
470,880,20000,20000,344,744,20000
312,631,20000,20000,538,274,20000
420,815,20000,20000,468,723,20000
388,873,20000,20000,470,1420,20000
637,743,20000,20000,535,1109,20000
415,890,20000,20000,366,463,20000
503,701,20000,20000,566,551,684
571,696,20000,20000,341,415,20000
703,689,20000,20000,302,419,20000
562,669,20000,20000,297,628,919
528,825,20000,20000,271,528,20000
265,721,20000,20000,395,491,20000
338,559,20000,20000,462,432,20000
423,1139,20000,20000,489,532,20000
323,836,20000,20000,401,539,20000
279,500,20000,20000,321,474,598
919,544,20000,20000,405,480,20000
552,1074,20000,20000,497,540,20000
440,605,20000,20000,512,426,20000
407,947,20000,20000,483,522,20000
392,554,20000,20000,397,334,891
334,832,20000,20000,312,992,20000
400,1213,20000,20000,356,528,20000
418,627,20000,20000,315,435,1508
299,903,20000,20000,385,640,1395
258,904,20000,20000,370,315,20000
301,547,20000,20000,487,457,20000
236,619,20000,20000,308,400,766
536,637,20000,20000,348,1070,1153
378,1229,20000,20000,455,308,20000
295,922,20000,20000,296,748,20000
424,658,20000,20000,394,443,20000
488,914,20000,20000,305,597,20000
265,657,20000,20000,306,611,2466
320,838,20000,20000,464,704,20000
260,1186,20000,20000,465,581,20000
321,690,20000,20000,326,753,20000
262,1268,20000,20000,342,252,673
381,773,20000,20000,449,561,20000
