complete,star,cycle,line,er,pa,pa2
68,194,20000,20000,169,181,20000
70,189,20000,20000,82,247,20000
105,206,20000,20000,78,20000,20000
75,170,20000,20000,131,20000,45
96,106,20000,20000,95,183,345
121,124,20000,20000,61,309,81
131,123,20000,20000,85,134,20000
76,282,20000,20000,93,134,20000
92,189,20000,20000,56,20000,20000
198,209,20000,20000,189,86,176
74,213,20000,20000,68,271,20000
63,183,20000,20000,56,20000,20000
92,228,20000,20000,93,100,20000
90,524,20000,20000,104,144,20000
130,69,20000,20000,151,173,20000
78,181,20000,20000,103,206,20000
77,118,20000,20000,108,78,20000
74,210,20000,20000,126,126,20000
55,176,20000,20000,85,66,20000
100,355,20000,20000,98,168,20000
52,161,20000,20000,114,214,174
89,179,20000,20000,171,20000,20000
59,178,20000,20000,108,108,20000
95,197,20000,20000,129,20000,20000
88,267,20000,20000,72,105,20000
44,136,20000,20000,101,280,172
43,232,20000,20000,175,86,20000
71,249,20000,20000,87,133,228
96,167,20000,20000,71,101,20000
56,277,20000,20000,73,238,163
123,118,20000,20000,28,318,20000
134,199,20000,20000,89,129,20000
90,231,20000,20000,65,155,20000
99,108,20000,20000,68,134,20000
77,138,20000,20000,76,144,20000
137,355,20000,20000,120,81,20000
54,156,20000,20000,88,105,151
139,174,20000,20000,88,146,162
81,176,20000,20000,60,20000,106
92,104,20000,20000,113,229,20000
73,154,20000,20000,124,190,20000
100,321,20000,20000,122,115,123
76,230,20000,20000,84,62,195
113,178,20000,20000,110,287,156
61,87,20000,20000,163,123,20000
75,163,20000,20000,115,76,126
148,244,20000,20000,134,102,20000
55,252,20000,20000,56,215,20000
75,294,20000,20000,112,177,20000
105,209,20000,20000,145,117,20000
123,231,20000,20000,170,487,106
112,217,20000,20000,80,372,310
70,213,20000,20000,69,111,137
56,252,20000,20000,63,251,20000
74,224,20000,20000,75,163,20000
135,177,20000,20000,96,193,124
140,170,20000,20000,96,20000,20000
96,196,20000,20000,151,298,20000
63,362,20000,20000,29,190,20000
92,241,20000,20000,71,116,333
50,190,20000,20000,125,212,20000
62,92,20000,20000,101,106,20000
73,159,20000,20000,128,175,124
54,121,20000,20000,163,155,83
153,351,20000,20000,126,314,149
68,152,20000,20000,178,161,20000
93,180,20000,20000,173,113,20000
156,99,20000,20000,187,240,20000
127,113,20000,20000,119,20000,204
52,196,20000,20000,261,203,20000
45,236,20000,20000,42,20000,20000
56,260,20000,20000,88,20000,20000
96,308,20000,20000,71,228,346
97,188,20000,20000,69,20000,20000
110,239,20000,20000,141,64,20000
98,136,20000,20000,61,64,20000
82,135,20000,20000,76,20000,20000
58,244,20000,20000,84,20000,20000
98,167,20000,20000,57,309,20000
107,194,20000,20000,122,98,20000
78,141,20000,20000,91,75,20000
64,177,20000,20000,103,20000,20000
101,159,20000,20000,82,109,399
117,100,20000,20000,110,361,380
176,227,20000,20000,81,227,138
63,330,20000,20000,141,130,20000
49,274,20000,20000,229,194,20000
64,88,20000,20000,157,276,20000
95,133,20000,20000,57,230,20000
73,172,20000,20000,126,73,20000
97,238,20000,20000,158,191,20000
72,202,20000,20000,123,106,151
45,156,20000,20000,135,177,20000
70,110,20000,20000,32,147,20000
54,298,20000,20000,113,217,20000
89,342,20000,20000,160,20000,275
60,176,20000,20000,159,225,20000
210,289,20000,20000,127,188,20000
172,279,20000,20000,163,119,20000
61,314,20000,20000,96,525,177
