complete,star,cycle,line,er,pa,pa2
607,176,93,8466,121,253,92
442,113,1074,94,120,130,175
166,488,1709,589,214,808,190
111,227,988,3153,568,267,700
899,99,561,2477,287,209,35
307,272,4940,2927,278,426,204
204,234,496,3458,331,663,795
170,90,1862,1880,207,249,176
93,738,428,587,431,358,430
994,70,309,1455,182,132,128
291,81,459,4232,77,420,450
109,116,412,5018,192,396,1181
321,158,2348,1169,150,143,519
458,162,444,1809,250,361,598
383,138,1949,2836,182,457,376
210,99,546,832,567,57,330
116,307,475,205,238,302,153
290,109,455,5876,59,115,181
431,76,110,4822,255,164,269
384,218,2318,2035,368,1115,348
86,107,1438,1504,512,412,94
373,60,835,407,565,271,250
376,470,286,573,128,340,886
181,75,1138,334,450,267,475
159,147,1568,4654,134,1016,547
190,199,231,157,200,307,157
277,114,1713,552,217,195,519
683,44,472,4129,124,507,192
278,60,1097,648,63,152,624
241,208,1201,821,215,338,58
202,51,1774,3185,828,122,250
241,145,422,1024,201,522,174
223,127,688,178,419,219,396
283,292,859,397,108,85,298
321,80,381,3538,490,291,640
78,37,382,1123,427,73,185
233,84,789,5819,56,122,613
534,148,410,297,41,190,152
499,159,1048,2552,489,115,105
102,131,143,975,549,220,645
85,78,1398,91,330,284,222
1445,169,2359,893,102,732,215
371,180,2352,1885,362,837,1042
229,88,1561,480,415,185,398
246,127,1854,4377,394,86,569
496,110,1162,171,130,10000,412
321,140,815,540,249,181,587
166,107,576,42,62,108,556
268,226,458,1058,206,110,552
342,106,782,441,86,163,666
168,175,1910,5930,345,324,569
104,84,3238,3310,165,155,140
736,193,106,2938,104,268,184
287,207,361,209,47,316,256
113,88,1326,2622,67,128,106
89,258,1308,29,186,146,133
50,315,1196,10000,226,278,84
335,175,4437,275,141,10000,710
846,96,2866,1299,158,214,306
1498,84,200,1626,442,167,335
189,127,3092,627,266,406,1231
239,106,425,2811,591,93,191
223,462,448,653,85,642,431
438,105,212,1346,190,403,154
217,256,507,264,571,67,90
68,528,2752,1494,322,221,215
561,226,1699,375,287,304,757
460,149,1587,477,308,169,1600
172,124,644,395,102,127,350
255,32,180,150,522,515,336
389,269,1887,10000,195,662,123
186,233,1076,2116,134,149,217
95,98,388,5127,129,359,338
115,145,164,581,137,89,265
76,198,1642,64,258,67,361
212,251,389,1364,56,303,578
168,102,2018,1604,374,441,1755
278,345,130,407,257,262,246
221,224,1535,2479,102,275,193
328,186,576,3279,86,114,315
86,146,478,10000,108,218,394
280,83,988,2711,63,451,254
29,644,1745,753,217,230,175
98,111,283,449,251,346,272
404,85,2141,3291,68,548,162
141,179,667,2230,140,152,480
175,59,2134,994,59,442,1270
83,44,1601,238,67,649,76
85,146,2248,696,295,76,519
275,139,600,2072,66,187,152
91,87,1246,7920,453,230,166
261,321,414,1312,741,515,404
762,64,2337,2128,693,288,142
663,158,184,747,59,242,515
171,189,304,1550,94,81,149
623,81,296,29,93,212,634
268,111,231,930,96,472,52
582,191,659,298,48,77,341
84,311,298,726,39,657,213
39,194,1950,89,55,135,317
