Complete_time,Complete_timeType,Complete_opinion1,Star_time,Star_timeType,Star_opinion1,SW_time,SW_timeType,SW_opinion1,ER_time,ER_timeType,ER_opinion1,PA_time,PA_timeType,PA_opinion1,L2_time,L2_timeType,L2_opinion1
410,1,99,468,0,100,464,0,100,573,0,100,748,1,2,503,1,55
537,1,99,151,1,49,1126,1,2,427,0,0,612,1,99,377,1,55
475,1,99,151,1,48,388,0,100,357,0,0,776,1,99,1277,0,100
421,0,100,510,0,100,917,0,100,391,0,100,501,0,100,336,1,42
468,0,100,151,1,47,618,0,100,297,0,100,371,0,100,430,1,54
