complete,star,cycle,line,er,pa,pa2
879,505,3600,9997,783,710,2131
1961,467,8885,2671,940,2044,1086
872,543,6094,7411,631,1938,701
1102,541,4393,537,989,550,888
291,636,10000,4840,943,495,788
1152,364,10000,10000,1653,357,781
586,348,10000,3783,79,546,1046
2019,254,10000,969,520,1140,1669
1477,416,1113,10000,1575,2023,755
1414,534,1758,6440,374,925,680
950,191,6941,10000,451,396,1076
1248,214,10000,8803,665,1744,2005
531,140,10000,10000,721,3041,1534
379,274,2422,4214,394,372,1638
3728,224,10000,10000,267,927,1421
166,285,674,1160,1676,672,977
352,796,3326,2790,1156,1274,546
731,340,5692,10000,842,1801,1678
464,130,10000,9521,1881,1627,1132
1410,136,7230,5767,2881,336,1424
887,148,10000,10000,239,2573,846
736,508,6361,3940,5125,825,1587
1521,215,3693,10000,2448,976,582
833,247,6579,5253,516,1757,1172
751,288,10000,10000,702,356,1617
827,263,4864,874,819,719,371
1598,499,4737,2317,794,695,1354
1096,292,10000,7171,519,407,1762
380,442,359,6020,1078,263,1208
261,372,6258,10000,861,368,1360
1403,377,9269,3751,427,2069,456
498,470,10000,6366,1433,337,1926
634,847,4466,2632,477,1152,1834
1043,1085,10000,586,293,282,1029
1824,352,8721,10000,2916,1164,2394
1098,238,10000,8402,1042,494,1147
747,302,3479,10000,702,990,349
2212,251,8349,10000,2221,229,637
1221,186,2655,7841,933,323,587
354,169,2352,2225,922,561,1703
393,194,8723,3758,546,973,1877
497,340,10000,5199,476,2068,1229
465,345,4396,4905,1008,400,1188
809,563,893,7843,1045,1017,655
489,293,2298,10000,1193,1327,1661
2386,448,10000,10000,806,2148,795
255,218,10000,828,500,331,1267
701,342,1826,10000,1043,1986,1994
3185,687,10000,3423,1487,1913,1031
2385,285,10000,10000,531,880,881
1163,247,10000,3158,3190,845,2599
2437,199,5972,4099,2447,932,1243
3398,179,4334,10000,630,829,3086
1199,330,1796,10000,1678,227,1857
751,276,10000,6197,846,1101,1210
869,480,6319,4588,2046,1307,543
1521,319,10000,6482,909,372,382
1031,252,6228,10000,1960,914,757
1279,224,4446,5527,1695,419,678
1122,199,10000,10000,1037,482,897
1619,682,2072,10000,2976,1845,2273
1164,262,5287,4748,1448,1714,485
262,546,1587,3105,500,1843,2245
324,207,8978,10000,702,401,512
174,334,2720,6392,324,2553,1456
852,368,2274,10000,1569,1212,1653
800,237,7470,10000,100,1357,397
680,228,2153,7496,520,961,1148
2501,236,2968,1578,245,1381,2224
270,235,10000,1171,1533,1003,749
1439,573,8635,2029,735,335,1244
3138,299,4044,7449,449,2847,3243
1070,229,10000,5565,571,3511,3647
1430,272,10000,6321,946,1138,1993
397,276,5947,10000,1143,433,746
1050,200,10000,3963,344,1415,2512
1668,633,1023,3072,1033,880,356
979,314,10000,10000,392,204,2945
1671,330,4764,3549,3644,322,1281
758,238,10000,2044,212,1898,1088
781,306,2186,3275,1198,837,1524
707,349,4825,10000,1176,707,1025
1627,278,798,10000,728,612,2485
2638,338,5162,3421,1973,1714,1356
644,132,3849,2907,391,1896,251
692,1064,4924,8193,785,1562,1242
960,457,2058,10000,823,1442,1906
550,714,9185,8620,1246,1028,1792
1002,507,6833,1427,852,2546,1064
597,367,10000,3815,358,372,2120
486,255,2792,5836,1842,900,1623
961,214,10000,6594,1039,1049,919
223,255,8137,10000,273,3023,1486
813,799,10000,6043,525,607,185
2315,283,10000,2010,4029,843,481
2999,331,10000,10000,1395,1403,504
551,472,8399,10000,1980,960,2096
266,256,7602,4769,540,246,347
1039,659,10000,6409,1782,574,758
2362,415,5124,10000,453,10000,678
