Complete_time,Complete_timeType,Complete_opinion1,Complete_opinion2,Star_time,Star_timeType,Star_opinion1,Star_opinion2,SW_time,SW_timeType,SW_opinion1,SW_opinion2,ER_time,ER_timeType,ER_opinion1,ER_opinion2,PA_time,PA_timeType,PA_opinion1,PA_opinion2,L2_time,L2_timeType,L2_opinion1,L2_opinion2
5705,0,0,0,769,1,1,98,4725,0,0,100,3423,0,0,100,3876,0,0,100,8193,0,0,0
6160,0,0,100,1745,1,0,99,5083,0,0,100,2624,1,99,1,4428,1,99,1,3518,0,0,0
10000,2,60,40,1003,1,0,3,10000,2,36,64,6443,0,100,0,3747,0,0,0,7101,1,0,98
3509,0,0,0,834,1,2,98,8367,0,100,0,1965,0,0,0,10000,2,70,0,9810,0,0,100
3358,0,0,100,971,1,0,99,10000,2,45,55,5933,0,100,0,5427,0,0,0,3772,1,3,0
