complete,star,cycle,line,er,pa,pa2
317,687,20000,20000,215,599,619
167,527,20000,20000,338,243,20000
244,586,20000,20000,323,621,20000
356,864,20000,20000,279,520,20000
277,476,20000,20000,326,791,20000
268,380,20000,20000,338,277,20000
203,633,20000,20000,239,631,20000
238,887,20000,20000,286,511,20000
181,711,20000,20000,225,469,20000
241,502,20000,20000,480,719,20000
196,592,20000,20000,252,561,20000
259,652,20000,20000,245,950,20000
182,416,20000,20000,264,704,20000
258,759,20000,20000,276,564,1282
231,315,20000,20000,293,754,20000
218,593,20000,20000,259,432,20000
295,565,20000,20000,278,194,20000
260,533,20000,20000,338,485,563
276,607,20000,20000,297,358,20000
142,384,20000,20000,386,786,410
375,424,20000,20000,365,915,20000
293,460,20000,20000,397,271,20000
287,319,20000,20000,240,370,538
298,461,20000,20000,287,395,20000
213,358,20000,20000,361,377,20000
273,309,20000,20000,298,441,20000
296,581,20000,20000,258,581,20000
341,503,20000,20000,249,219,20000
224,824,20000,20000,489,538,925
185,626,20000,20000,200,481,832
288,313,20000,20000,351,563,20000
197,728,20000,20000,412,20000,20000
191,491,20000,20000,452,444,20000
327,986,20000,20000,241,164,20000
278,712,20000,20000,381,542,20000
559,445,20000,20000,257,451,511
313,496,20000,20000,189,271,20000
245,526,20000,20000,403,400,295
333,337,20000,20000,328,534,20000
236,380,20000,20000,261,20000,20000
242,478,20000,20000,283,256,20000
231,531,20000,20000,186,20000,841
221,481,20000,20000,259,457,20000
175,372,20000,20000,321,489,20000
312,547,20000,20000,319,315,20000
168,501,20000,20000,228,371,20000
323,309,20000,20000,287,303,20000
258,279,20000,20000,327,797,902
252,319,20000,20000,192,398,20000
299,553,20000,20000,278,557,20000
263,824,20000,20000,226,513,422
166,557,20000,20000,419,464,581
212,483,20000,20000,379,20000,20000
318,294,20000,20000,220,625,20000
362,588,20000,20000,539,20000,20000
327,508,20000,20000,379,480,1366
284,311,20000,20000,209,252,688
258,575,20000,20000,431,233,20000
213,408,20000,20000,165,20000,20000
340,633,20000,20000,170,552,423
244,736,20000,20000,387,588,20000
269,524,20000,20000,312,662,20000
170,513,20000,20000,411,379,20000
186,562,20000,20000,506,263,20000
163,627,20000,20000,205,590,754
207,644,20000,20000,318,346,785
216,343,20000,20000,266,979,687
241,822,20000,20000,280,614,20000
223,395,20000,20000,259,20000,20000
276,389,20000,20000,209,479,784
214,487,20000,20000,325,20000,20000
356,601,20000,20000,389,409,20000
271,376,20000,20000,163,365,20000
215,414,20000,20000,466,348,20000
216,597,20000,20000,294,477,1422
211,632,20000,20000,301,434,20000
298,859,20000,20000,417,404,20000
129,450,20000,20000,289,20000,20000
171,522,20000,20000,281,306,20000
220,655,20000,20000,277,511,20000
284,606,20000,20000,216,303,20000
203,709,20000,20000,328,528,20000
315,702,20000,20000,236,853,20000
202,520,20000,20000,235,564,1312
214,417,20000,20000,112,669,20000
295,300,20000,20000,420,310,20000
192,489,20000,20000,237,474,20000
427,470,20000,20000,301,310,20000
160,479,20000,20000,373,440,20000
276,715,20000,20000,163,526,552
301,470,20000,20000,177,586,20000
256,430,20000,20000,286,316,20000
200,400,20000,20000,204,367,20000
311,554,20000,20000,280,223,20000
182,512,20000,20000,333,20000,20000
307,446,20000,20000,268,751,20000
266,269,20000,20000,163,776,20000
409,660,20000,20000,233,323,20000
272,368,20000,20000,244,402,712
482,837,20000,20000,334,304,20000
