complete,star,cycle,line,er,pa,pa2
29,21,2000,2000,6,14,2000
25,47,2000,2000,65,27,55
5,6,2000,2000,23,19,20
13,26,2000,2000,22,19,2000
24,94,2000,2000,2000,22,2000
38,31,2000,18,13,10,25
19,28,2000,2000,14,24,17
12,59,10,2000,27,2000,2000
20,20,2000,2000,24,2000,2000
16,20,2000,2000,8,114,49
31,82,2000,2000,2000,2000,19
34,28,2000,2000,25,2000,27
1,76,2000,2000,2000,57,27
14,35,2000,2000,49,63,74
12,43,2000,2000,17,108,111
28,26,2000,2000,4,78,2000
13,73,2000,2000,25,2000,17
52,31,2000,2000,7,35,2000
26,17,2000,2000,2000,32,47
4,80,2000,19,14,2000,6
9,52,2000,2000,22,31,2000
4,60,2000,9,19,8,2000
5,31,5,2000,22,103,54
22,17,2000,2000,20,2000,2000
16,49,2000,8,2000,80,37
18,99,11,25,42,2000,2000
10,14,2000,2000,26,2000,72
22,24,16,2000,22,24,39
15,24,2000,2000,9,12,33
14,52,2000,15,2000,24,2000
19,11,2000,19,9,2000,46
9,72,2000,2000,46,44,32
34,44,21,2000,12,14,18
21,16,2000,4,9,20,74
8,35,12,2000,16,19,2000
7,53,2000,43,38,86,40
8,31,2000,2000,40,21,35
33,41,2000,16,12,2000,2000
18,34,2000,2000,34,21,23
19,20,2000,2000,13,49,19
23,15,2000,2000,51,2000,18
42,45,2000,2000,29,46,19
16,58,2000,2000,2000,7,2000
24,74,2000,26,81,22,37
34,59,2000,11,29,2000,74
16,33,2000,2000,24,13,2000
21,36,2000,2000,64,23,29
8,77,2000,2000,25,29,92
17,44,2000,2000,2000,24,15
18,69,2000,2000,2000,24,51
5,34,2000,2000,21,110,17
14,14,2000,2000,4,54,53
54,10,2000,2000,68,69,10
14,13,2000,2000,2000,12,32
19,34,2000,29,22,23,2000
10,109,2000,2000,52,13,28
32,24,2000,2000,28,2000,2000
27,19,2000,2000,64,34,52
37,21,2000,2000,38,2000,28
9,48,2000,2000,31,14,2000
15,70,2000,22,2,2000,48
6,48,2000,2000,31,56,78
28,48,2000,2000,19,27,2000
24,70,2000,2000,20,70,11
34,31,2000,2000,45,68,27
18,23,2000,2000,28,2000,94
8,41,2000,2000,36,15,28
39,72,2000,13,14,14,2000
6,23,2000,2000,44,2000,2000
11,15,2000,2000,2000,41,2000
19,17,2000,2000,31,2000,3
18,35,2000,2000,20,31,2000
12,51,5,2000,56,34,17
26,18,2000,2000,22,2000,2000
12,46,2000,2000,10,82,38
17,66,2000,15,26,30,2000
14,49,2000,2000,13,11,40
25,155,2000,2000,27,2000,3
13,17,2000,7,17,21,67
14,25,2000,2000,8,67,2000
16,43,2000,2000,12,20,71
12,10,2000,2000,17,94,54
17,45,2000,2000,19,2,32
14,22,2000,2000,24,22,8
12,71,2000,2000,6,46,20
12,12,2000,2000,30,76,2000
62,66,2000,2000,38,30,87
34,22,2000,2000,52,18,2000
11,70,38,2000,10,2000,10
20,47,10,5,16,21,2000
22,27,22,2000,10,17,41
20,5,2000,2000,4,69,2000
24,71,2000,16,7,2000,2000
13,89,2000,2000,20,155,26
25,45,2000,2000,14,37,54
60,78,2000,2000,14,2000,2000
44,53,2000,2000,21,10,41
13,71,2000,8,30,35,74
22,38,2000,1,20,9,2000
22,53,2000,2000,18,56,2000
