complete,star,cycle,line,er,pa,pa2
663,1164,20000,20000,475,672,20000
357,588,20000,20000,561,906,20000
328,614,20000,20000,345,513,20000
365,694,20000,20000,589,753,1407
662,1339,20000,20000,614,597,20000
671,901,20000,20000,322,460,20000
294,1024,20000,20000,638,935,20000
339,870,20000,20000,397,863,20000
331,913,20000,20000,396,739,959
389,1040,20000,20000,370,575,20000
422,1387,20000,20000,351,434,20000
332,641,20000,20000,359,686,20000
446,721,20000,20000,337,823,1268
453,1317,20000,20000,385,398,20000
419,1033,20000,20000,348,704,20000
469,567,20000,20000,389,469,934
242,1388,20000,20000,326,700,20000
302,824,20000,20000,327,493,20000
378,617,20000,20000,743,1160,20000
416,751,20000,20000,850,641,20000
281,862,20000,20000,341,531,20000
363,646,20000,20000,280,639,719
449,2021,20000,20000,558,407,20000
435,816,20000,20000,403,442,20000
514,752,20000,20000,391,918,20000
310,911,20000,20000,307,524,20000
401,1045,20000,20000,387,538,882
402,736,20000,20000,336,562,1203
360,865,20000,20000,420,975,20000
364,536,20000,20000,398,891,20000
436,1317,20000,20000,390,402,20000
696,504,20000,20000,420,787,20000
516,1570,20000,20000,527,681,20000
551,709,20000,20000,344,305,20000
456,402,20000,20000,487,411,20000
492,1442,20000,20000,522,381,1217
510,891,20000,20000,344,354,20000
379,781,20000,20000,443,917,20000
325,1629,20000,20000,351,470,20000
514,960,20000,20000,482,866,20000
378,865,20000,20000,297,610,20000
350,609,20000,20000,549,839,748
611,898,20000,20000,426,518,20000
296,1461,20000,20000,371,580,20000
367,1044,20000,20000,432,634,501
586,1049,20000,20000,576,853,1024
364,790,20000,20000,329,762,20000
303,872,20000,20000,462,598,20000
440,746,20000,20000,550,468,962
407,845,20000,20000,297,365,20000
504,1154,20000,20000,339,524,1475
372,667,20000,20000,312,515,20000
476,757,20000,20000,361,678,20000
388,659,20000,20000,566,483,20000
420,1054,20000,20000,617,581,20000
269,907,20000,20000,501,959,20000
429,1392,20000,20000,418,674,20000
338,1143,20000,20000,377,697,20000
365,1037,20000,20000,345,670,961
667,644,20000,20000,287,629,20000
801,899,20000,20000,424,607,20000
461,653,20000,20000,248,20000,20000
406,1124,20000,20000,619,598,963
283,641,20000,20000,320,676,1204
488,572,20000,20000,375,610,20000
812,640,20000,20000,438,354,20000
688,770,20000,20000,339,977,20000
317,1016,20000,20000,422,845,1108
318,765,20000,20000,435,1044,20000
376,740,20000,20000,435,664,692
425,773,20000,20000,399,639,20000
520,772,20000,20000,356,450,20000
353,1129,20000,20000,412,618,20000
485,559,20000,20000,321,628,20000
505,790,20000,20000,356,413,20000
263,1163,20000,20000,395,790,20000
441,722,20000,20000,381,495,20000
294,1013,20000,20000,497,977,20000
554,1034,20000,20000,636,886,20000
458,1217,20000,20000,553,572,20000
507,771,20000,20000,575,656,20000
605,722,20000,20000,320,832,20000
265,1143,20000,20000,308,420,1652
466,1018,20000,20000,393,838,20000
407,563,20000,20000,455,812,986
668,831,20000,20000,677,540,20000
620,479,20000,20000,469,1002,754
571,677,20000,20000,410,324,20000
632,964,20000,20000,663,585,20000
332,939,20000,20000,492,661,20000
498,690,20000,20000,396,698,20000
536,1231,20000,20000,427,1245,729
356,410,20000,20000,512,581,20000
411,701,20000,20000,466,678,20000
356,777,20000,20000,399,699,20000
535,774,20000,20000,387,625,20000
335,1336,20000,20000,497,836,20000
363,1003,20000,20000,454,590,20000
497,1117,20000,20000,235,612,665
325,763,20000,20000,362,550,20000
