Complete_time,Complete_timeType,Complete_opinion1,Star_time,Star_timeType,Star_opinion1,SW_time,SW_timeType,SW_opinion1,ER_time,ER_timeType,ER_opinion1,PA_time,PA_timeType,PA_opinion1,L2_time,L2_timeType,L2_opinion1
10000,2,132,2852,0,0,10000,2,190,10000,2,25,10000,2,200,10000,2,203
10000,2,69,1830,1,1,10000,2,88,10000,2,34,10000,2,90,10000,2,150
10000,2,60,1632,1,5,10000,2,108,10000,2,190,10000,2,104,10000,2,107
10000,2,177,1749,1,5,10000,2,210,10000,2,71,10000,2,125,10000,2,47
10000,2,220,4636,1,247,10000,2,49,10000,2,122,10000,2,228,10000,2,194
10000,2,86,1841,1,245,10000,2,57,10000,2,190,7785,1,247,8392,1,2
10000,2,204,988,1,17,10000,2,209,10000,2,188,4694,0,250,10000,2,144
10000,2,163,3304,1,4,10000,2,34,10000,2,144,10000,2,199,10000,2,113
10000,2,215,2267,1,1,10000,2,67,10000,2,191,10000,2,46,10000,2,215
10000,2,223,1609,1,243,10000,2,23,10000,2,186,8191,1,248,10000,2,65
10000,2,146,1717,1,1,10000,2,100,10000,2,181,10000,2,229,10000,2,73
10000,2,93,1415,1,238,10000,2,126,10000,2,21,10000,2,49,10000,2,172
10000,2,227,1907,0,250,10000,2,139,10000,2,74,10000,2,22,10000,2,19
10000,2,151,1797,1,246,10000,2,214,10000,2,119,6063,1,1,10000,2,128
10000,2,162,2104,1,248,10000,2,150,10000,2,34,10000,2,109,6801,0,250
10000,2,33,1765,1,3,10000,2,158,10000,2,110,10000,2,238,10000,2,126
10000,2,225,2082,1,2,10000,2,157,10000,2,109,10000,2,157,10000,2,117
10000,2,188,1930,1,3,10000,2,10,10000,2,171,10000,2,84,10000,2,94
10000,2,61,4884,0,0,10000,2,94,10000,2,8,10000,2,70,10000,2,153
10000,2,93,1748,1,246,10000,2,142,10000,2,228,10000,2,188,10000,2,121
10000,2,146,1783,1,247,10000,2,98,10000,2,172,10000,2,43,10000,2,206
10000,2,185,1615,0,250,10000,2,186,10000,2,53,10000,2,93,10000,2,80
10000,2,173,1761,1,247,10000,2,93,10000,2,133,10000,2,233,10000,2,148
10000,2,141,2464,1,248,10000,2,63,10000,2,96,10000,2,233,10000,2,103
10000,2,142,1912,0,250,10000,2,178,10000,2,244,10000,2,164,10000,2,165
10000,2,183,1571,1,245,10000,2,242,10000,2,187,10000,2,242,10000,2,158
10000,2,123,2458,1,5,10000,2,91,10000,2,154,10000,2,80,10000,2,111
