Complete_time,Complete_timeType,Complete_opinion1,Complete_opinion2,Star_time,Star_timeType,Star_opinion1,Star_opinion2,SW_time,SW_timeType,SW_opinion1,SW_opinion2,ER_time,ER_timeType,ER_opinion1,ER_opinion2,PA_time,PA_timeType,PA_opinion1,PA_opinion2,L2_time,L2_timeType,L2_opinion1,L2_opinion2
10000,2,52,163,1884,1,4,245,10000,2,139,48,10000,2,151,0,10000,2,186,0,10000,2,23,57
10000,2,49,6,1903,0,0,250,10000,2,11,237,10000,2,14,31,10000,2,161,43,10000,2,29,111
10000,2,70,161,1803,1,245,1,4750,1,1,247,10000,2,99,20,10000,2,163,62,10000,2,201,37
10000,2,108,0,1886,1,3,4,10000,2,110,64,10000,2,20,223,10000,2,73,171,10000,2,138,29
10000,2,15,203,2441,1,1,5,10000,2,165,29,10000,2,69,44,10000,2,83,167,10000,2,194,0
10000,2,97,54,3941,1,4,0,10000,2,30,121,10000,2,23,95,10000,2,217,17,10000,2,49,15
10000,2,63,163,2754,1,249,1,10000,2,98,122,10000,2,71,57,10000,2,12,109,10000,2,142,59
10000,2,60,95,1425,1,4,11,10000,2,91,60,10000,2,80,113,10000,2,72,54,10000,2,213,36
10000,2,0,63,1902,1,2,247,10000,2,42,151,10000,2,0,168,10000,2,8,210,10000,2,120,108
8762,1,246,0,2084,1,245,3,10000,2,92,32,10000,2,102,128,10000,2,53,197,10000,2,199,50
10000,2,186,29,1697,1,243,2,10000,2,119,101,10000,2,20,224,10000,2,116,77,10000,2,11,195
10000,2,109,111,2152,0,250,0,10000,2,102,147,10000,2,99,47,10000,2,142,86,8566,1,248,0
10000,2,186,64,2186,1,1,1,10000,2,30,116,10000,2,148,39,10000,2,31,219,10000,2,156,82
10000,2,101,120,2256,1,246,1,10000,2,37,197,10000,2,169,2,10000,2,85,0,10000,2,108,89
10000,2,91,1,1979,1,5,2,10000,2,0,174,10000,2,93,80,10000,2,0,81,10000,2,66,5
