Complete_time,Complete_timeType,Complete_opinion1,Star_time,Star_timeType,Star_opinion1,SW_time,SW_timeType,SW_opinion1,ER_time,ER_timeType,ER_opinion1,PA_time,PA_timeType,PA_opinion1,L2_time,L2_timeType,L2_opinion1
436,1,98,121,1,47,571,0,0,493,1,97,443,0,100,804,1,96
553,0,100,451,1,99,336,0,100,902,1,99,650,1,4,589,1,64
389,0,100,366,0,100,367,1,97,746,1,99,373,1,96,557,1,87
349,0,0,121,1,43,585,1,42,384,0,100,642,1,3,404,0,100
529,1,1,121,1,45,558,1,99,394,1,99,711,1,7,569,1,27
276,0,100,408,0,100,538,1,27,561,1,1,748,1,5,388,1,57
339,1,97,121,1,49,464,1,42,578,1,99,468,0,100,751,1,98
248,0,100,392,1,99,399,1,98,465,0,100,533,0,100,677,1,95
420,0,100,383,1,99,371,0,100,400,0,100,402,1,99,513,1,63
245,0,0,659,0,100,644,0,100,596,1,99,434,1,39,474,1,19
393,0,100,290,0,100,567,1,1,634,0,100,522,1,3,758,1,97
332,0,100,364,0,100,694,1,98,374,1,98,551,0,100,864,1,97
423,1,99,364,0,100,429,0,100,378,1,57,459,1,47,518,0,100
244,0,0,469,1,99,369,0,0,497,0,0,490,1,5,455,1,62
372,0,100,439,0,100,374,0,0,665,0,100,425,1,5,482,1,49
317,1,98,487,1,99,482,1,99,329,0,100,402,1,96,371,1,74
460,0,100,372,0,100,702,0,100,470,0,100,347,0,100,854,1,95
416,0,0,121,1,43,1246,0,0,485,0,100,393,0,100,373,1,63
429,1,2,439,1,99,494,0,100,421,1,98,538,0,100,623,0,100
173,0,0,121,1,58,449,1,99,540,0,100,509,0,100,773,0,100
375,0,0,403,0,100,396,0,100,728,1,99,342,0,100,494,0,100
391,0,0,121,1,38,586,0,100,500,1,99,549,1,4,625,1,97
441,1,1,496,1,99,601,0,100,485,1,99,849,1,9,638,0,100
301,0,0,121,1,45,503,0,0,448,0,100,549,1,98,748,0,100
277,0,0,501,1,99,691,1,99,746,1,1,363,1,46,397,1,63
455,1,98,444,1,99,1017,0,0,428,0,100,455,0,100,704,0,100
489,0,0,327,0,100,550,1,99,445,0,100,487,1,6,434,0,100
374,1,1,408,1,99,606,1,99,520,1,58,345,0,100,578,0,100
481,1,1,121,1,48,1066,1,1,400,0,100,783,1,6,899,0,100
511,1,1,524,1,99,685,1,30,505,1,99,675,0,100,1134,1,95
399,1,98,121,1,47,512,1,99,478,1,99,587,1,7,966,1,97
462,1,99,121,1,42,431,1,99,533,1,99,601,1,99,681,1,98
405,0,100,345,0,100,572,1,99,946,1,98,563,0,100,889,1,87
474,0,100,404,0,100,638,1,99,460,0,100,552,1,98,326,1,18
303,0,0,476,0,100,1138,1,99,675,1,99,394,1,99,527,1,94
386,1,1,388,0,100,327,0,100,566,1,99,1034,1,4,348,1,72
342,0,0,121,1,48,573,1,43,450,0,100,477,1,99,302,1,48
360,0,0,121,1,49,568,1,97,333,0,100,411,1,7,394,1,58
266,0,100,121,1,51,371,0,100,405,0,100,635,0,100,632,1,97
469,0,0,416,1,98,529,0,100,600,1,38,663,1,4,475,0,100
350,0,100,581,0,100,728,1,99,407,0,100,376,1,99,1130,1,98
398,1,99,121,1,49,475,1,99,326,0,100,315,0,100,481,1,67
350,0,0,121,1,40,771,0,100,496,1,98,419,1,3,531,0,100
433,0,100,300,0,100,428,0,0,363,0,100,555,1,4,611,1,91
481,1,1,121,1,53,523,1,57,850,1,1,414,1,3,473,1,53
531,1,99,121,1,46,657,1,99,356,1,98,854,1,3,689,1,96
316,0,0,468,0,100,663,1,99,478,0,100,372,1,98,788,0,100
361,0,0,121,1,46,300,0,100,585,1,99,588,1,99,263,1,44
264,0,100,530,1,99,506,0,0,777,0,100,749,1,4,748,1,80
452,1,98,338,0,100,495,1,99,382,1,99,607,1,4,1414,1,98
462,0,0,390,0,100,493,0,100,402,1,6,547,1,4,485,1,38
542,0,100,121,1,59,430,0,100,269,1,57,482,1,11,271,1,57
325,0,100,388,0,100,350,0,100,608,0,100,512,0,100,547,0,100
408,0,0,299,0,100,706,0,100,475,0,100,699,1,1,429,0,100
403,0,0,445,0,100,1156,0,100,341,0,100,407,1,99,354,1,63
472,1,2,444,0,100,531,1,99,539,1,98,451,1,97,555,1,99
