Complete_time,Complete_timeType,Complete_opinion1,Complete_opinion2,Star_time,Star_timeType,Star_opinion1,Star_opinion2,SW_time,SW_timeType,SW_opinion1,SW_opinion2,ER_time,ER_timeType,ER_opinion1,ER_opinion2,PA_time,PA_timeType,PA_opinion1,PA_opinion2,L2_time,L2_timeType,L2_opinion1,L2_opinion2
1572,1,1,249,1283,1,81,169,1346,0,250,0,1417,1,1,0,1799,1,4,2,2088,1,246,4
1269,1,248,1,1685,1,249,0,1613,1,249,1,1390,1,244,1,1740,1,12,238,1985,0,250,0
1210,0,0,0,1198,1,249,1,1695,0,250,0,1467,0,250,0,1544,1,4,246,2142,0,250,0
1278,0,0,250,1055,0,250,0,1758,0,250,0,1560,0,0,0,1859,1,4,246,1815,0,250,0
1495,1,249,0,1180,0,250,0,2363,1,0,1,1854,1,0,249,1725,1,249,0,2306,0,250,0
1271,1,1,249,1349,0,250,0,1505,0,250,0,1302,0,0,0,1508,1,5,244,4791,1,248,1
1022,0,0,0,1210,0,250,0,1820,1,0,249,1165,0,250,0,1464,1,9,240,1773,1,247,3
1443,1,248,0,301,1,66,82,1333,0,0,250,977,0,250,0,1898,1,9,241,3839,0,250,0
1295,1,248,0,301,1,81,77,1937,0,0,250,1756,1,0,247,1714,1,9,241,2260,1,248,1
1285,1,3,0,1499,1,74,176,1639,0,250,0,1479,0,0,250,2331,1,8,242,1576,1,248,0
1458,1,249,1,1280,1,75,175,1744,0,250,0,1604,0,250,0,2314,1,2,1,1954,1,247,3
1022,0,0,0,1460,1,249,0,1951,0,250,0,1578,1,249,1,1304,1,10,240,2653,1,247,3
912,0,0,250,1092,1,101,149,1543,1,1,248,1382,0,250,0,1658,1,6,5,3033,0,250,0
1324,0,0,250,1213,1,88,161,1784,1,106,0,1074,0,0,250,1326,1,249,1,3450,0,250,0
1390,1,0,249,1093,0,250,0,1368,0,0,0,1313,0,250,0,1420,1,248,1,4576,1,245,3
1604,1,249,1,1270,0,250,0,1783,0,250,0,1302,0,0,250,1256,0,250,0,4505,1,249,1
1285,0,250,0,1504,1,71,176,1475,0,250,0,1655,0,0,0,1652,1,249,0,2832,1,249,1
1189,0,0,0,956,0,250,0,1344,0,250,0,1822,0,0,250,1529,0,250,0,1252,0,250,0
1392,1,1,1,1024,0,250,0,2681,0,0,250,1319,0,0,250,1695,1,4,246,1232,1,72,104
1476,1,249,0,301,1,79,70,1233,0,0,250,1451,0,0,250,1765,1,5,1,1824,1,247,2
1157,0,0,0,1134,1,76,172,1709,0,250,0,1525,0,0,250,2006,0,250,0,2660,1,242,5
1253,1,2,246,1547,1,249,0,1552,1,1,0,1636,1,0,1,1968,1,10,240,1989,1,135,8
1424,1,249,0,301,1,83,91,1659,0,250,0,1314,0,0,0,2315,1,3,247,2464,1,246,0
1068,1,1,247,1077,1,79,169,1794,1,249,1,1666,1,248,0,2066,1,4,4,1696,0,250,0
1232,1,2,248,1383,0,250,0,4827,0,250,0,1430,0,250,0,1877,1,4,246,2858,1,246,4
1366,0,0,250,1090,1,80,169,3272,1,1,0,1410,1,249,1,1578,1,11,1,2271,1,136,114
1218,0,0,0,1206,1,72,178,1534,0,0,250,1646,1,0,3,1754,0,250,0,2589,1,113,137
1442,0,0,250,1459,1,248,0,1376,0,0,250,1448,1,2,248,1471,0,250,0,1632,0,250,0
1192,0,250,0,1217,1,80,170,2643,1,246,2,1034,0,0,0,1521,1,249,0,2124,0,250,0
1311,0,250,0,301,1,92,80,1400,0,0,250,1263,1,249,0,1267,0,250,0,2161,1,100,150
1651,1,249,0,301,1,80,85,1574,0,250,0,1655,0,250,0,1447,1,249,1,1996,0,250,0
1250,1,249,0,1376,1,70,180,1630,1,0,249,1473,1,247,2,1893,1,249,0,2088,1,248,2
1305,0,250,0,1234,1,248,0,1414,1,249,0,1552,0,0,250,2075,1,13,237,2222,1,177,73
1524,1,1,0,1668,0,250,0,1416,1,249,0,1579,0,250,0,1254,0,250,0,2455,0,250,0
1242,1,1,1,1764,1,80,170,1605,1,2,1,1346,1,247,2,1426,1,5,243,1380,0,250,0
988,0,250,0,1241,0,250,0,1821,0,0,0,1357,0,250,0,1943,1,11,239,3273,1,249,1
1412,0,0,250,301,1,83,87,1538,0,250,0,1411,0,250,0,1068,0,250,0,1605,0,250,0
971,0,250,0,301,1,81,84,1826,0,250,0,1686,1,1,249,1589,1,7,243,1802,1,90,156
1470,1,0,249,301,1,95,71,1498,1,0,249,1959,1,248,0,1364,0,250,0,3246,1,245,3
1179,0,0,250,318,1,85,71,1650,1,249,1,1363,0,250,0,2342,1,249,1,1283,0,250,0
1031,0,0,0,301,1,73,86,1506,0,250,0,1249,0,250,0,1731,1,4,245,2505,1,248,0
1106,0,0,250,301,1,72,75,1345,0,0,250,1578,0,0,250,1247,1,8,116,4334,1,31,219
1441,0,250,0,1187,1,249,1,1075,0,250,0,1163,0,0,0,1535,0,250,0,2223,0,250,0
1030,0,0,0,909,0,250,0,2111,0,0,0,1441,0,250,0,1511,1,5,244,1759,1,248,0
1187,0,0,0,1288,0,250,0,1193,0,250,0,1438,0,0,250,1258,1,249,0,2728,1,248,0
1460,1,0,1,301,1,85,83,2048,1,1,249,1547,0,250,0,1970,1,249,1,1913,1,245,3
1239,0,0,250,1145,1,83,166,1351,1,248,0,1333,0,250,0,1396,0,250,0,1967,0,250,0
1368,1,0,249,1054,1,248,1,1622,1,1,248,1421,0,0,0,1857,1,9,241,2030,1,246,0
