Complete_time,Complete_timeType,Complete_opinion1,Star_time,Star_timeType,Star_opinion1,SW_time,SW_timeType,SW_opinion1,ER_time,ER_timeType,ER_opinion1,PA_time,PA_timeType,PA_opinion1,L2_time,L2_timeType,L2_opinion1
1323,0,0,301,1,121,2022,0,250,1317,0,250,1734,1,11,1697,1,144
1456,1,249,301,1,119,1486,1,249,1457,1,1,1383,0,250,2564,1,249
1587,1,249,1317,1,249,1415,1,249,1166,0,250,1148,0,250,1303,0,250
1007,0,0,1276,1,248,1574,1,247,1150,0,0,1326,0,250,1709,0,250
1228,0,250,1017,0,250,1470,0,250,1600,0,250,1637,1,4,1646,1,249
1022,0,250,1161,1,249,1411,1,249,1566,0,0,2431,1,9,1296,1,113
1371,0,0,301,1,121,1585,0,250,897,0,0,1249,1,248,1115,1,114
994,0,0,953,0,250,1712,0,0,1168,1,249,2619,0,250,2186,0,250
1004,1,5,301,1,124,1116,0,250,1257,0,0,1831,1,8,1693,0,250
1249,1,1,1053,1,246,1168,0,250,1522,0,250,1755,1,249,2416,1,247
1000,0,0,301,1,118,1447,0,250,1150,0,250,1239,1,246,1392,1,114
963,0,250,1192,0,250,1415,0,0,1191,0,250,1421,1,249,2362,0,250
1187,0,250,1595,0,250,1946,0,250,1314,0,250,1443,0,250,1917,1,249
1605,1,249,301,1,120,980,0,250,1416,0,250,1905,1,6,1557,1,248
1248,0,0,301,1,118,2499,0,250,1150,0,250,1684,0,250,1496,1,246
1310,1,248,880,0,250,1347,0,0,1616,1,2,2291,0,250,1512,0,250
1313,1,249,1153,1,248,1380,0,250,1436,0,250,1548,1,7,2208,1,79
1122,0,0,301,1,122,1235,0,250,1546,1,249,1507,1,249,1877,1,245
1189,0,250,301,1,123,1267,0,250,1310,0,250,1863,0,250,2470,1,249
1442,0,0,927,1,247,1158,0,250,1326,0,250,1443,1,4,1484,1,100
1181,0,0,926,0,250,1315,0,250,1476,0,0,1139,0,250,1844,1,248
904,0,250,1353,1,249,1551,0,250,1402,1,1,1459,0,250,1583,1,249
1125,0,250,301,1,120,1403,0,250,1781,1,124,1184,0,250,2171,1,248
1346,0,250,301,1,129,1048,1,247,1696,0,250,1221,1,247,1206,1,99
984,0,250,1153,0,250,1580,1,2,1329,0,250,1438,1,249,1701,0,250
1258,0,0,301,1,110,1294,1,1,1510,1,249,1196,1,248,1862,1,249
