Complete_time,Complete_timeType,Complete_opinion1,Complete_opinion2,Star_time,Star_timeType,Star_opinion1,Star_opinion2,SW_time,SW_timeType,SW_opinion1,SW_opinion2,ER_time,ER_timeType,ER_opinion1,ER_opinion2,PA_time,PA_timeType,PA_opinion1,PA_opinion2,L2_time,L2_timeType,L2_opinion1,L2_opinion2
5030,1,99,0,1504,1,0,1,14000,2,89,0,14000,2,0,1,7178,0,0,0,11297,0,100,0
11167,0,0,0,1369,1,99,0,6454,0,0,0,8704,0,0,0,2434,1,0,1,4434,1,0,1
4005,0,0,0,863,1,99,0,6072,0,100,0,14000,2,47,0,7807,0,0,0,5250,1,97,0
10809,0,0,100,817,1,0,1,6872,0,100,0,5030,0,100,0,3215,1,3,0,14000,2,0,92
3708,0,0,100,826,1,96,0,14000,2,27,0,4909,0,100,0,5422,0,100,0,10331,0,100,0
2818,0,100,0,840,0,0,100,12304,0,0,100,5834,1,1,99,14000,2,0,98,2213,0,100,0
8284,0,100,0,1111,1,99,0,4296,0,0,0,3422,0,100,0,3257,1,0,2,14000,2,33,0
9480,0,0,0,872,1,99,1,14000,2,43,57,9758,0,100,0,7174,1,1,97,4494,1,1,0
3001,0,0,100,542,1,4,1,14000,2,72,28,1805,0,0,0,3625,0,0,0,3497,1,0,99
4754,0,100,0,758,1,98,1,4445,1,0,1,14000,2,76,0,5952,0,0,0,14000,2,66,0
7289,0,0,100,758,1,1,0,7462,0,0,0,8280,0,0,0,4364,0,100,0,4477,1,0,98
13627,0,0,100,936,1,1,99,6423,0,0,0,5384,0,100,0,4511,0,100,0,14000,2,0,7
14000,2,0,82,973,1,1,99,2635,0,0,100,7532,0,0,0,11371,1,1,0,6166,0,100,0
5416,1,99,0,2724,0,0,100,10220,0,100,0,8073,0,100,0,8879,0,0,100,12323,1,0,2
5976,0,0,100,900,1,98,0,5603,1,1,99,14000,2,36,64,5116,1,0,2,2966,1,0,2
14000,2,51,49,852,1,0,97,8651,0,100,0,4661,0,0,0,4479,0,0,100,3840,1,98,2
2724,0,0,0,2272,0,0,0,7544,0,0,0,4859,1,99,1,12259,0,0,100,10915,0,0,100
11300,1,1,0,618,0,100,0,12469,0,0,100,3972,1,97,0,8966,0,0,0,2675,1,0,1
3141,0,0,0,580,1,4,92,6035,0,100,0,5976,0,0,0,7062,0,0,0,6146,1,3,0
8322,0,0,100,636,1,1,96,3057,0,0,0,14000,2,78,0,4841,1,98,0,5214,1,0,4
2476,0,0,100,712,1,98,2,6790,1,0,1,14000,2,55,45,2264,1,98,0,3544,0,0,0
7002,0,100,0,1116,1,0,99,3685,0,100,0,3065,1,99,0,1502,1,1,99,2201,1,0,97
2471,1,1,0,798,1,0,96,3998,0,0,0,4336,0,100,0,9474,1,97,0,14000,2,67,33
2961,0,0,100,747,0,0,0,6723,0,100,0,7782,0,0,100,6446,0,0,100,8896,1,1,99
5312,0,0,0,1081,1,0,1,14000,2,0,17,10766,0,100,0,6109,0,0,0,12654,1,0,99
6602,0,0,100,673,1,97,1,9594,0,0,100,14000,2,35,65,9760,1,3,0,2065,1,2,97
5833,0,0,0,1056,1,99,0,5005,0,0,100,2024,1,1,99,4089,0,0,100,3704,0,0,100
14000,2,0,74,662,1,0,1,6505,0,0,0,14000,2,95,0,7076,1,0,99,2648,1,93,7
6394,0,100,0,707,1,1,98,5371,0,0,100,8918,0,0,0,2341,1,99,1,12265,0,0,100
5859,1,97,0,929,1,1,99,4682,0,0,0,9387,0,0,0,8186,1,99,1,2492,1,99,0
4112,0,0,100,776,0,0,100,5433,1,0,3,8811,1,98,0,4970,1,3,0,6798,1,2,0
3135,1,99,0,898,1,99,1,3510,0,0,0,4441,0,0,100,1420,0,100,0,6832,0,100,0
4428,0,0,100,1360,1,4,0,2466,0,100,0,3890,0,100,0,13040,0,0,100,14000,2,82,0
2474,1,98,2,1106,1,0,99,7820,1,1,99,7121,0,100,0,3163,1,99,1,2298,1,99,0
14000,2,77,23,746,1,97,1,4236,0,100,0,4672,0,0,100,888,0,0,100,7203,1,3,0
4530,0,0,100,1348,1,96,4,5549,0,0,0,2936,0,0,100,11162,1,2,0,7903,0,0,100
5231,0,0,0,728,1,1,1,10409,0,0,100,9388,0,0,0,3773,0,0,0,2781,0,0,0
3384,0,0,100,1130,1,0,96,6889,0,0,0,7528,1,99,1,4012,0,0,100,8801,0,0,100
10565,1,1,0,606,1,96,1,3335,0,100,0,4059,0,0,0,5667,1,2,0,14000,2,0,23
2215,0,0,0,854,1,1,3,3388,0,0,0,4804,0,0,0,7701,0,100,0,14000,2,0,41
3993,0,100,0,1461,0,0,0,6157,0,0,0,4010,1,0,99,3093,0,0,0,9501,0,0,0
9162,0,100,0,757,1,98,1,10202,1,97,0,3325,0,100,0,9716,0,100,0,1303,0,0,100
13004,0,100,0,1318,0,0,0,12608,0,0,100,4856,0,100,0,2864,1,99,1,9969,1,1,99
14000,2,0,74,2042,1,99,0,3988,0,100,0,6028,0,100,0,2612,0,100,0,14000,2,0,27
