Complete_time,Complete_timeType,Complete_opinion1,Star_time,Star_timeType,Star_opinion1,SW_time,SW_timeType,SW_opinion1,ER_time,ER_timeType,ER_opinion1,PA_time,PA_timeType,PA_opinion1,L2_time,L2_timeType,L2_opinion1
6405,0,100,673,0,0,2486,0,0,12546,0,100,2269,1,5,2749,0,0
6463,0,100,843,1,99,7685,0,100,11875,1,99,5431,1,98,11306,1,3
4440,0,100,551,0,100,4641,0,100,13408,1,1,1331,0,0,6556,1,2
7382,0,0,665,1,99,1782,0,100,5133,0,0,2138,0,100,5068,1,1
3952,0,0,557,1,97,11207,0,0,5626,1,1,3626,1,1,9040,0,100
8533,0,0,673,1,1,6950,0,100,1984,0,100,2953,1,2,1490,0,100
3058,0,100,620,1,96,6518,0,0,6488,0,0,2460,0,0,1474,1,1
2725,0,0,950,0,0,7392,1,99,7607,0,100,2779,0,100,3703,1,2
14000,2,2,743,1,99,9424,0,0,3684,0,0,7998,1,99,9356,1,99
2671,0,0,1333,1,1,5279,0,0,3075,0,100,9932,1,99,6966,0,100
4061,0,100,1189,1,98,4211,0,100,4356,1,2,3650,1,98,14000,2,9
11721,0,0,1190,0,100,7208,1,98,13175,0,0,14000,2,64,6414,1,1
5987,0,0,576,1,97,1918,0,100,2934,1,1,7260,0,100,7908,1,99
8891,0,100,1067,1,2,10183,1,99,8685,1,99,5609,1,99,6456,0,100
2783,0,100,1082,0,100,4710,0,100,5976,0,100,3793,0,100,5468,1,99
1365,0,100,842,1,99,2656,0,0,14000,2,89,8277,1,99,5925,0,100
2207,1,1,688,1,98,1259,0,100,9660,1,1,4686,1,99,4927,0,100
6726,0,0,1732,1,99,6643,1,99,8257,0,100,3711,1,99,14000,2,74
2677,0,100,1295,1,97,4450,0,0,11839,0,0,4183,0,0,2538,1,3
4486,0,0,767,1,99,14000,2,92,1485,1,98,1691,1,99,5462,1,96
1798,1,1,838,0,0,2020,0,0,4945,1,98,14000,2,34,14000,2,40
2067,1,99,842,1,96,5538,1,3,8403,0,0,1019,1,1,6370,0,0
14000,2,46,697,1,1,14000,2,52,14000,2,55,10325,1,1,12160,1,99
7791,0,100,559,1,95,2910,0,100,8437,0,0,1784,0,100,13089,1,2
9631,1,99,621,1,96,7523,0,0,2045,1,99,1136,0,0,9207,1,99
3660,0,100,875,0,100,3504,0,100,5847,0,100,3229,1,97,12864,0,0
3661,0,100,579,1,7,9500,1,99,8036,1,1,1537,0,0,12869,0,100
8615,1,2,1800,1,1,6075,0,0,7039,1,99,14000,2,24,14000,2,32
7392,0,100,493,0,100,8947,0,0,2088,0,0,7776,1,97,14000,2,21
4401,0,100,1074,1,97,7518,0,100,6639,0,100,1818,0,0,4865,1,99
5902,0,0,1581,1,1,1716,1,99,2186,1,99,3074,0,0,14000,2,82
5739,1,99,1225,1,99,3831,0,0,14000,2,57,1767,0,100,8139,1,96
13434,0,0,1071,1,98,2790,1,99,2587,0,100,12083,0,0,4752,1,1
2788,0,100,454,0,100,10640,0,0,14000,2,18,11275,0,100,7644,0,100
14000,2,34,942,1,1,7451,1,3,1951,0,100,3080,0,100,2212,1,2
9295,0,0,611,1,99,2343,1,1,3876,1,99,2192,0,0,4484,0,100
4639,0,0,1659,0,0,6186,1,99,5215,0,0,4580,0,100,10767,1,98
9095,0,100,1126,1,1,6232,0,0,14000,2,64,4514,0,0,7593,1,94
12611,1,99,838,1,2,1602,0,0,2243,0,0,14000,2,85,3753,0,100
6851,1,2,731,1,98,1953,1,99,9546,1,1,872,1,2,3230,1,99
6800,0,100,731,1,2,6643,0,100,13684,1,99,3104,1,1,2744,0,100
1742,0,0,789,1,97,7356,0,100,2462,1,1,4140,0,0,10408,1,97
5529,0,0,552,0,100,4138,0,0,9885,0,100,5504,1,1,3250,0,0
2662,0,100,709,1,98,6671,0,100,10163,1,2,2698,0,0,9833,1,99
8154,0,0,460,1,6,4047,0,100,3040,0,0,7345,0,0,3592,0,100
4789,0,100,759,1,2,3053,0,100,5727,0,0,8133,0,0,14000,2,24
1670,1,1,703,1,1,7509,0,0,5209,1,97,6802,0,100,8687,1,3
5838,1,99,620,1,97,3786,0,100,8072,1,99,2674,0,0,4339,1,1
3754,0,0,1253,1,99,8430,0,0,7393,0,0,3017,1,1,7409,1,1
3908,0,100,726,0,100,14000,2,83,4246,0,0,5715,1,1,2758,0,100
3909,1,1,692,1,99,3680,1,3,3174,1,1,3464,1,96,14000,2,27
6229,1,99,487,1,2,6410,0,100,2741,0,100,8516,1,99,5979,1,99
10282,0,0,565,1,98,3151,0,0,3663,0,100,2548,0,100,5806,0,0
3416,0,100,676,1,2,7133,0,0,10707,0,100,2509,0,100,1512,1,4
3735,1,99,1077,1,1,4444,1,99,1214,1,2,1436,1,98,6045,0,100
11443,0,0,581,1,7,1776,0,0,4316,1,1,12018,1,98,14000,2,17
10457,0,0,815,1,2,7537,0,0,3640,0,0,6628,0,0,4050,0,100
