Complete_time,Complete_timeType,Complete_opinion1,Star_time,Star_timeType,Star_opinion1,SW_time,SW_timeType,SW_opinion1,ER_time,ER_timeType,ER_opinion1,PA_time,PA_timeType,PA_opinion1,L2_time,L2_timeType,L2_opinion1
1672,0,0,667,0,0,8723,0,100,11824,0,100,2513,0,100,6716,1,99
4346,1,1,745,1,99,4101,0,0,14000,2,96,13189,0,0,9327,1,2
2559,1,1,737,0,0,13319,0,100,5714,0,100,7092,1,99,6745,1,96
14000,2,71,1368,1,99,2278,0,100,1775,0,0,7962,1,98,5544,1,98
2911,0,0,640,0,0,6448,0,0,2918,1,2,8022,0,0,4284,1,99
7036,0,100,1050,0,0,4880,0,100,12704,0,0,2305,0,100,6591,1,98
2837,0,100,609,0,0,2713,0,0,8720,0,100,6795,0,0,7392,1,98
3200,1,1,551,1,7,14000,2,62,5252,0,0,5957,1,1,10880,0,0
3090,0,100,503,1,98,4143,0,100,12631,1,98,7509,0,0,14000,2,62
6432,1,99,1189,1,96,3944,1,98,5948,0,0,1458,0,100,8550,1,96
3089,1,99,692,0,100,10112,1,98,10340,0,100,2342,0,0,3417,1,99
8626,1,2,1091,1,3,5874,1,1,3832,0,0,9460,0,0,1737,1,3
3057,0,100,671,1,98,5473,1,98,3303,0,100,1177,0,100,3011,1,99
5920,0,100,686,1,99,3579,0,100,5763,0,100,3181,1,1,1601,0,0
9628,0,100,535,1,1,8223,1,1,3084,1,1,7558,1,1,7510,1,98
10301,0,0,639,1,3,5332,0,0,10593,1,3,3618,0,100,11609,1,1
6108,0,0,1077,1,1,6421,0,100,10416,0,0,2885,1,1,4026,1,5
6579,0,100,528,1,3,9318,0,0,10534,1,1,4768,0,0,6303,1,4
6926,0,100,988,1,99,11091,1,98,5247,0,0,2992,0,100,6556,1,97
4076,0,100,568,1,98,14000,2,93,1684,0,0,4725,1,98,5338,1,98
920,0,0,697,0,100,5311,1,3,2424,0,0,14000,2,31,8472,1,97
4083,0,100,1093,1,2,4101,1,99,4365,0,100,3830,1,99,14000,2,32
6665,1,99,649,1,98,4387,0,0,14000,2,4,11288,0,100,3554,1,98
2488,0,0,731,1,1,5775,0,0,7271,0,0,5611,1,1,8074,0,100
6239,0,0,1237,1,99,10792,0,100,3435,1,99,14000,2,42,9383,0,100
5897,0,0,830,0,100,4146,0,0,6513,0,0,3652,0,100,4089,1,99
4018,0,0,1553,1,1,1893,0,100,14000,2,26,14000,2,36,14000,2,4
7341,0,100,936,0,0,6153,0,0,7584,0,100,11268,1,99,2681,0,0
3120,0,0,757,0,0,2961,0,100,11220,0,0,14000,2,55,4647,1,99
13828,0,100,645,1,3,10586,0,100,6206,0,100,6044,1,4,1224,0,100
6589,1,1,1325,1,1,10690,0,0,5768,0,100,7788,0,100,7943,1,4
4539,0,0,594,1,99,4626,0,100,7208,1,98,6373,0,100,1873,0,100
2836,0,0,896,1,95,5075,0,0,5441,0,0,9736,0,0,2843,0,100
13568,0,0,497,1,2,10506,0,0,11603,1,2,4448,0,0,1227,1,2
5178,0,0,632,1,97,3121,1,1,14000,2,44,4915,0,0,14000,2,87
5123,0,100,523,1,99,4814,1,99,1119,0,0,4044,0,100,2609,0,100
4460,0,100,542,1,3,2411,0,0,2546,1,1,7471,0,0,6405,1,99
10219,0,100,643,1,99,6074,0,0,14000,2,66,14000,2,61,1895,0,100
1387,1,99,643,1,1,2342,0,100,1300,1,99,2897,0,100,2452,0,0
1883,0,100,807,1,2,3215,0,0,4575,0,0,1587,1,96,11447,1,99
3306,0,100,740,1,2,9749,0,100,10341,0,100,1695,1,98,3788,0,0
9045,0,100,1125,1,97,2512,0,0,9770,0,0,3087,0,100,8507,1,1
9350,0,100,560,1,97,12167,0,0,3172,1,1,13545,1,98,5985,0,100
